omega_eV,CsGeCl3_d0.1,CsGeCl3_d0.15,CsGeCl3_d0.2,CsGeBr3_d0.1,CsGeBr3_d0.15,CsGeBr3_d0.2,CsGeI3_d0.1,CsGeI3_d0.15,CsGeI3_d0.2,CsSnCl3_d0.1,CsSnCl3_d0.15,CsSnCl3_d0.2,CsSnBr3_d0.1,CsSnBr3_d0.15,CsSnBr3_d0.2,CsSnI3_d0.1,CsSnI3_d0.15,CsSnI3_d0.2,CsPbCl3_d0.1,CsPbCl3_d0.15,CsPbCl3_d0.2,CsPbBr3_d0.1,CsPbBr3_d0.15,CsPbBr3_d0.2,CsPbI3_d0.1,CsPbI3_d0.15,CsPbI3_d0.2
0.30000,-9.698350e-04,-1.591141e-03,-1.977353e-03,-6.204685e-03,-8.695930e-03,-8.693413e-03,-6.045526e-02,-7.146630e-02,-6.801710e-02,-3.705115e-03,-5.723057e-03,-6.687809e-03,-4.476176e-02,-5.912243e-02,-6.112195e-02,-2.206602e-01,-3.343101e-01,-3.523424e-01,-2.949405e-04,-4.944403e-04,-7.192653e-04,-2.779867e-03,-4.218920e-03,-5.562700e-03,-2.192055e-02,-3.030756e-02,-3.568171e-02
0.31572,-9.860345e-04,-1.615840e-03,-2.005783e-03,-6.356067e-03,-8.896663e-03,-8.873644e-03,-6.281537e-02,-7.398521e-02,-7.013091e-02,-3.774987e-03,-5.829210e-03,-6.804152e-03,-4.781057e-02,-6.295776e-02,-6.467251e-02,-2.355848e-01,-3.472999e-01,-3.754769e-01,-2.987367e-04,-5.003548e-04,-7.273482e-04,-2.841338e-03,-4.307940e-03,-5.674583e-03,-2.296758e-02,-3.165762e-02,-3.714731e-02
0.33144,-1.002601e-03,-1.641082e-03,-2.034801e-03,-6.512962e-03,-9.104413e-03,-9.059471e-03,-6.533057e-02,-7.665268e-02,-7.235384e-02,-3.847164e-03,-5.938802e-03,-6.924084e-03,-5.130453e-02,-6.732778e-02,-6.869069e-02,-2.491791e-01,-3.648338e-01,-3.952731e-01,-3.026021e-04,-5.063736e-04,-7.355693e-04,-2.905028e-03,-4.400086e-03,-5.790274e-03,-2.410019e-02,-3.311206e-02,-3.871847e-02
0.34716,-1.019545e-03,-1.666883e-03,-2.064423e-03,-6.675655e-03,-9.319530e-03,-9.251140e-03,-6.801636e-02,-7.948201e-02,-7.469445e-02,-3.921765e-03,-6.052006e-03,-7.047780e-03,-5.533410e-02,-7.232701e-02,-7.326580e-02,-2.629447e-01,-3.878342e-01,-4.128848e-01,-3.065384e-04,-5.124992e-04,-7.439319e-04,-2.971054e-03,-4.495523e-03,-5.909968e-03,-2.532897e-02,-3.468316e-02,-4.040679e-02
0.36288,-1.036878e-03,-1.693258e-03,-2.094667e-03,-6.844451e-03,-9.542386e-03,-9.448910e-03,-7.089041e-02,-8.248816e-02,-7.716222e-02,-3.998917e-03,-6.169007e-03,-7.175427e-03,-6.000349e-02,-7.805425e-02,-7.850253e-02,-2.789926e-01,-4.133699e-01,-4.305095e-01,-3.105474e-04,-5.187343e-04,-7.524393e-04,-3.039545e-03,-4.594425e-03,-6.033873e-03,-2.666631e-02,-3.638518e-02,-4.222565e-02
0.37860,-1.054612e-03,-1.720226e-03,-2.125548e-03,-7.019677e-03,-9.773380e-03,-9.653059e-03,-7.397299e-02,-8.568807e-02,-7.976777e-02,-4.078758e-03,-6.290003e-03,-7.307224e-03,-6.541961e-02,-8.459702e-02,-8.451803e-02,-2.989600e-01,-4.360303e-01,-4.497600e-01,-3.146308e-04,-5.250815e-04,-7.610950e-04,-3.110638e-03,-4.696981e-03,-6.162213e-03,-2.812677e-02,-3.823478e-02,-4.419050e-02
0.39431,-1.072759e-03,-1.747805e-03,-2.157086e-03,-7.201684e-03,-1.001294e-02,-9.863879e-03,-7.728742e-02,-8.910096e-02,-8.252297e-02,-4.161435e-03,-6.415207e-03,-7.443389e-03,-7.165919e-02,-9.200364e-02,-9.143169e-02,-3.235522e-01,-4.519535e-01,-4.703583e-01,-3.187906e-04,-5.315436e-04,-7.699027e-04,-3.184480e-03,-4.803396e-03,-6.295229e-03,-2.972756e-02,-4.025150e-02,-4.631933e-02
0.41003,-1.091332e-03,-1.776012e-03,-2.189300e-03,-7.390847e-03,-1.026152e-02,-1.008168e-02,-8.086071e-02,-9.274878e-02,-8.544117e-02,-4.247108e-03,-6.544848e-03,-7.584150e-03,-7.869540e-02,-1.002457e-01,-9.934223e-02,-3.526175e-01,-4.621633e-01,-4.901614e-01,-3.230287e-04,-5.381235e-04,-7.788662e-04,-3.261229e-03,-4.913886e-03,-6.433177e-03,-3.148916e-02,-4.245842e-02,-4.863316e-02
0.42575,-1.110344e-03,-1.804867e-03,-2.222208e-03,-7.587572e-03,-1.051960e-02,-1.030680e-02,-8.472430e-02,-9.665669e-02,-8.853745e-02,-4.335948e-03,-6.679173e-03,-7.729758e-03,-8.628067e-02,-1.091905e-01,-1.082874e-01,-3.850264e-01,-4.720575e-01,-5.066094e-01,-3.273470e-04,-5.448241e-04,-7.879891e-04,-3.341057e-03,-5.028688e-03,-6.576337e-03,-3.343604e-02,-4.488293e-02,-5.115669e-02
0.44147,-1.129809e-03,-1.834390e-03,-2.255831e-03,-7.792295e-03,-1.078773e-02,-1.053960e-02,-8.891501e-02,-1.008537e-01,-9.182893e-02,-4.428141e-03,-6.818447e-03,-7.880479e-03,-9.385255e-02,-1.186217e-01,-1.181911e-01,-4.183463e-01,-4.878193e-01,-5.186713e-01,-3.317478e-04,-5.516485e-04,-7.972756e-04,-3.424151e-03,-5.148056e-03,-6.725007e-03,-3.559767e-02,-4.755774e-02,-5.391911e-02
